# freq (s^-1)	PSD (strain^2 s)
1.807500e+02	8.640669e-24
1.810000e+02	8.651407e-24
1.812500e+02	8.662148e-24
1.815000e+02	8.672891e-24
1.817500e+02	8.683636e-24
1.820000e+02	8.694383e-24
1.822500e+02	8.705132e-24
1.825000e+02	8.715883e-24
1.827500e+02	8.726636e-24
1.830000e+02	8.737391e-24
1.832500e+02	8.748148e-24
1.835000e+02	8.758907e-24
1.837500e+02	8.769668e-24
1.840000e+02	8.780431e-24
1.842500e+02	8.791195e-24
1.845000e+02	8.801962e-24
1.847500e+02	8.812731e-24
1.850000e+02	8.823501e-24
1.852500e+02	8.834273e-24
1.855000e+02	8.845048e-24
1.857500e+02	8.855824e-24
1.860000e+02	8.866602e-24
1.862500e+02	8.877382e-24
1.865000e+02	8.888163e-24
1.867500e+02	8.898947e-24
1.870000e+02	8.909732e-24
1.872500e+02	8.920520e-24
1.875000e+02	8.931309e-24
1.877500e+02	8.942100e-24
1.880000e+02	8.952893e-24
1.882500e+02	8.963687e-24
1.885000e+02	8.974483e-24
1.887500e+02	8.985282e-24
1.890000e+02	8.996082e-24
1.892500e+02	9.006883e-24
1.895000e+02	9.017687e-24
1.897500e+02	9.028492e-24
1.900000e+02	9.039299e-24
1.902500e+02	9.050108e-24
1.905000e+02	9.060919e-24
1.907500e+02	9.071731e-24
1.910000e+02	9.082545e-24
1.912500e+02	9.093361e-24
1.915000e+02	9.104178e-24
1.917500e+02	9.114998e-24
1.920000e+02	9.125818e-24
1.922500e+02	9.136641e-24
1.925000e+02	9.147465e-24
1.927500e+02	9.158291e-24
1.930000e+02	9.169119e-24
1.932500e+02	9.179949e-24
1.935000e+02	9.190780e-24
1.937500e+02	9.201612e-24
1.940000e+02	9.212447e-24
1.942500e+02	9.223283e-24
1.945000e+02	9.234120e-24
1.947500e+02	9.244960e-24
1.950000e+02	9.255801e-24
1.952500e+02	9.266643e-24
1.955000e+02	9.277487e-24
1.957500e+02	9.288333e-24
1.960000e+02	9.299180e-24
1.962500e+02	9.310029e-24
1.965000e+02	9.320880e-24
1.967500e+02	9.331732e-24
1.970000e+02	9.342586e-24
1.972500e+02	9.353441e-24
1.975000e+02	9.364298e-24
1.977500e+02	9.375157e-24
1.980000e+02	9.386017e-24
1.982500e+02	9.396878e-24
1.985000e+02	9.407741e-24
1.987500e+02	9.418606e-24
1.990000e+02	9.429472e-24
1.992500e+02	9.440340e-24
1.995000e+02	9.451209e-24
1.997500e+02	9.462080e-24
2.000000e+02	9.472952e-24
2.002500e+02	9.483826e-24
2.005000e+02	9.494701e-24
