% Freq (Hz)	Omega_0(f)	2*sigma(f)
3.340625e+01	3.615532e-07	1.126738e-06
3.343750e+01	-5.851355e-08	1.130416e-06
3.346875e+01	-4.119818e-07	1.240345e-06
3.353125e+01	2.005290e-07	1.363924e-06
3.356250e+01	-8.373561e-07	1.306967e-06
3.359375e+01	5.279472e-07	1.245579e-06
3.362500e+01	-9.710452e-07	1.205588e-06
3.365625e+01	-1.708486e-06	1.258642e-06
3.371875e+01	-1.412917e-07	1.742297e-06
3.375000e+01	-3.017611e-07	1.234240e-06
3.378125e+01	-1.552231e-06	1.215218e-06
3.381250e+01	4.746504e-07	1.215770e-06
3.384375e+01	2.176405e-07	1.230382e-06
3.387500e+01	3.473010e-08	1.193653e-06
3.390625e+01	6.339795e-09	1.175523e-06
3.393750e+01	7.648580e-07	1.192030e-06
3.396875e+01	-4.089025e-07	1.203911e-06
3.400000e+01	-6.093032e-07	1.209410e-06
3.403125e+01	-1.856721e-07	1.170195e-06
3.406250e+01	3.321188e-07	1.148132e-06
3.409375e+01	-1.087269e-06	1.132858e-06
3.412500e+01	-2.016416e-07	1.122472e-06
3.415625e+01	1.250419e-07	1.113445e-06
3.418750e+01	1.281687e-07	1.113374e-06
3.421875e+01	3.010746e-07	1.175256e-06
3.425000e+01	-1.042455e-07	1.273583e-06
3.428125e+01	-2.514276e-07	1.181391e-06
3.431250e+01	4.641226e-07	1.126737e-06
3.434375e+01	1.155894e-06	1.138106e-06
3.437500e+01	5.902663e-07	1.148905e-06
3.440625e+01	-3.669159e-07	1.160780e-06
3.443750e+01	-4.230694e-08	1.169726e-06
3.446875e+01	1.698770e-07	1.291882e-06
3.453125e+01	2.750168e-07	1.546476e-06
3.487500e+01	-1.137458e-06	1.333457e-06
3.490625e+01	8.980065e-07	1.278441e-06
3.493750e+01	9.049984e-07	1.266629e-06
3.496875e+01	5.530124e-08	1.284615e-06
3.500000e+01	-3.911285e-07	1.371870e-06
3.503125e+01	-9.776148e-08	1.438725e-06
3.506250e+01	-3.258050e-07	1.400385e-06
3.509375e+01	-2.425513e-07	1.339523e-06
3.512500e+01	-3.808682e-07	1.325991e-06
3.546875e+01	-7.846864e-07	1.497654e-06
3.553125e+01	-1.012056e-06	1.490705e-06
3.556250e+01	-8.756668e-07	1.346261e-06
3.559375e+01	-4.805073e-07	1.286001e-06
3.562500e+01	-3.356377e-07	1.280158e-06
3.565625e+01	-2.317922e-07	1.406867e-06
3.568750e+01	-1.830668e-07	3.661022e-06
3.571875e+01	-7.929595e-06	4.568561e-06
3.575000e+01	1.124174e-06	2.180099e-06
3.578125e+01	-3.579618e-07	1.895061e-06
3.581250e+01	7.294243e-07	2.588069e-06
